SBA,Gentrifying,CD,RentChange
401,1,Astoria,27.6
210,,Bay Ridge/Dyker Heights,20.6
411,,Bayside/Little Neck,11.3
203,1,Bedford Stuyvesant,36.1
102,1,Belmont/East Tremont,23.5
211,,Bensonhurst,10.3
212,,Borough Park,19
216,1,Brownsville,20.5
204,1,Bushwick,44
308,1,Central Harlem,53.2
303,,Clinton/Chelsea,51.8
213,,Coney Island,9.9
208,1,Crown Heights/Prospect Heights,29.9
217,,East Flatbush,4.1
309,1,East Harlem,40.3
205,,East New York/Starret City,8.2
404,,Elmhurst/Corana,10.4
301,,Financial District,61.2
214,,Flatbush/Midwood,18.3
218,,Flatlands/Canarsie,5.4
407,,Flushing/Whitestone,1.5
104,,Fordham/University Heights,14.2
202,,Fort Greene/Brooklyn Heights,53.2
201,1,Greenpoint/Williamsburg,78.7
301,,Greenwich Village/Soho,61.2
103,,Highbridge/Concourse,17.8
408,,Hillcrest/Fresh Meadows,13.8
101,1,Hunts Point/Longwood,28
403,,Jackson Heights,12.5
412,,Jamaica/Hollis,6.8
409,,Kew Gardens/Woodhaven,12.3
105,,Kingsbridge Heights/Bedford,17.5
302,1,Lower East Side/Chinatown,50.3
303,,Midtown,51.8
307,1,Morningside Heights/Hamilton,36.7
109,,Morris Park/Bronxdale,
102,1,Morrisania/Crotona,23.5
101,1,Mott Haven/Melrose,28
206,,Park Slope/Carroll Gardens,47.3
107,,Parkchester/Soundview,14
413,,Queens Village,-2.1
406,,Rego Park/Forest Hills,19.8
405,,Ridgewood/Maspeth,17.9
106,,Riverdale/Fieldston,16.3
414,,Rockaway/Broad Channel,16.5
215,,Sheepshead Bay,11.1
502,,South Beach/Willowbrook,NA
209,1,South Crown Heights/Lefferts Gardens,18.1
410,,South Ozone Park/Howard Beach,5.3
501,,St. George/Stapleton,NA
304,,Stuyvesant Town/Turtle Bay,38.3
207,1,Sunset Park,23.9
108,,Throgs Neck/Co-op City,10
503,,Tottenville/Great Kills,NA
306,,Upper East Side,22.8
305,,Upper West Side,37.9
310,1,Washington Heights/Inwood,29.3
110,,Williamsbridge/Baychester,11
402,,Woodside/Sunnyside,37.6
